Line | Original | Parsed Value
309 | 203981,52 | 203981.52
310 | 540000,00 | 540000.00
311 | 611944,68 | 611944.68
312 | 450000,00 | 450000.00
313 | 10800000,00 | 10800000.00
314 | 203981,52 | 203981.52
315 | 168000,00 | 168000.00
316 | 203981,52 | 203981.52
317 | 203981,52 | 203981.52
318 | 203981,52 | 203981.52
319 | 111650,00 | 111650.00
320 | 16649,90 | 16649.90
321 | 33791,88 | 33791.88
322 | 22585,88 | 22585.88
323 | 943,95 | 943.95
324 | 3200,00 | 3200.00
325 | 8000,00 | 8000.00
326 | 80871,72 | 80871.72
327 | 102015,97 | 102015.97
328 | 186983,06 | 186983.06
329 | 495000,00 | 495000.00
330 | 11600,00 | 11600.00
331 | 2900,00 | 2900.00
332 | 2320,00 | 2320.00
333 | 20000,00 | 20000.00
334 | 203981,52 | 203981.52
335 | 200000,00 | 200000.00
336 | 5800,00 | 5800.00
337 | 1450,00 | 1450.00
338 | 1160,00 | 1160.00
339 | 20000,00 | 20000.00
340 | 33791,88 | 33791.88
341 | 8000,00 | 8000.00
342 | 32698,52 | 32698.52
343 | 9626,40 | 9626.40
344 | 14000,00 | 14000.00
345 | 8000,00 | 8000.00
346 | 60000,00 | 60000.00
347 | 36281,30 | 36281.30
348 | 32698,52 | 32698.52
349 | 1540,00 | 1540.00
350 | 72000,00 | 72000.00
351 | 50000,00 | 50000.00
352 | 39709,64 | 39709.64
353 | 200000,00 | 200000.00
354 | 90000,00 | 90000.00
355 | 33996,92 | 33996.92
356 | 90000,00 | 90000.00
357 | 11332,30 | 11332.30
358 | 90000,00 | 90000.00
359 | 33996,92 | 33996.92
360 | 90000,00 | 90000.00
361 | 11332,10 | 11332.10
362 | 10150,00 | 10150.00
363 | 6188,00 | 6188.00
364 | 23200,00 | 23200.00
365 | 90000,00 | 90000.00
366 | 339969,20 | 339969.20
367 | 67993,80 | 67993.80
368 | 45000,00 | 45000.00
369 | 36000,00 | 36000.00
370 | 36000,00 | 36000.00
371 | 2142,00 | 2142.00
372 | 60000,00 | 60000.00
373 | 17932,77 | 17932.77
374 | 93220,38 | 93220.38
375 | 150000,00 | 150000.00
376 | 408063,88 | 408063.88
377 | 300641,74 | 300641.74
378 | 150000,00 | 150000.00
379 | 8700,00 | 8700.00
380 | 87000,00 | 87000.00
381 | 200000,00 | 200000.00
382 | 611944,68 | 611944.68
383 | 14650,90 | 14650.90
384 | 90000,00 | 90000.00
385 | 152986,14 | 152986.14
386 | 203981,52 | 203981.52
387 | 864000,00 | 864000.00
388 | 611944,68 | 611944.68
389 | -8291,15 | -8291.15
390 | 203981,52 | 203981.52
391 | 44999,82 | 44999.82
392 | 44999,82 | 44999.82
393 | 44999,82 | 44999.82
394 | 44999,82 | 44999.82
395 | 16998,39 | 16998.39
396 | 16998,39 | 16998.39
397 | 16998,39 | 16998.39
398 | 16998,39 | 16998.39
399 | 611944,68 | 611944.68
400 | 67993,80 | 67993.80
401 | 0,00 | 0.00
402 | 2872991,16 | 2872991.16
403 | 1800000,00 | 1800000.00
404 | 33996,92 | 33996.92
405 | 360000,00 | 360000.00
406 | 252095,82 | 252095.82
407 | 93491,55 | 93491.55
408 | 300000,00 | 300000.00
409 | 67993,84 | 67993.84
410 | 1800000,00 | 1800000.00
411 | 124655,40 | 124655.40
412 | 400000,00 | 400000.00
413 | 240000,00 | 240000.00
414 | 168063,88 | 168063.88
415 | 124655,40 | 124655.40
416 | 400000,00 | 400000.00
417 | 63553,11 | 63553.11
418 | 336000,00 | 336000.00
419 | 20000,00 | 20000.00
420 | -1057500,00 | -1057500.00
421 | -417237,50 | -417237.50
422 | -50370,00 | -50370.00
423 | -116380,85 | -116380.85
424 | 75028,00 | 75028.00
425 | 1057500,00 | 1057500.00
426 | 417237,50 | 417237.50
427 | 50370,00 | 50370.00
428 | 116380,85 | 116380.85
429 | 203981,52 | 203981.52
430 | 3240000,00 | 3240000.00
431 | 373966,20 | 373966.20
432 | 1200000,00 | 1200000.00
433 | 1200000,00 | 1200000.00
434 | 124655,40 | 124655.40
435 | 1200000,00 | 1200000.00
436 | 305972,34 | 305972.34
437 | 600000,00 | 600000.00
438 | 101990,76 | 101990.76
439 | 600000,00 | 600000.00
440 | -611944,56 | -611944.56
441 | 1200000,00 | 1200000.00
442 | 668750,00 | 668750.00
443 | 15000,00 | 15000.00
444 | 585000,00 | 585000.00
445 | 180000,00 | 180000.00
446 | 126047,90 | 126047.90
447 | 540000,00 | 540000.00
448 | 1436967,23 | 1436967.23
449 | 238000,00 | 238000.00
450 | 3240000,00 | 3240000.00
451 | 2540929,20 | 2540929.20
452 | 246477,72 | 246477.72
453 | 120000,00 | 120000.00
454 | 84031,93 | 84031.93
455 | 100000,00 | 100000.00
456 | 100000,00 | 100000.00
457 | 100000,00 | 100000.00
458 | 100000,00 | 100000.00
459 | 1800000,00 | 1800000.00
460 | 270000,00 | 270000.00
461 | 270000,00 | 270000.00
462 | 270000,00 | 270000.00
463 | 270000,00 | 270000.00
464 | 611944,56 | 611944.56
465 | -180000,00 | -180000.00
466 | 48000,00 | 48000.00
467 | 72000,00 | 72000.00
468 | 144000,00 | 144000.00
469 | 400000,00 | 400000.00
470 | 67993,80 | 67993.80
471 | 203981,40 | 203981.40
472 | 611944,56 | 611944.56
473 | 600000,00 | 600000.00
474 | 203981,40 | 203981.40
475 | 600000,00 | 600000.00
476 | 101990,76 | 101990.76
477 | 1200000,00 | 1200000.00
478 | 611944,56 | 611944.56
479 | 1121898,48 | 1121898.48
480 | 1200000,00 | 1200000.00
481 | 492191,60 | 492191.60
482 | 100000,00 | 100000.00
483 | 520000,00 | 520000.00
484 | 1200000,00 | 1200000.00
485 | 600000,00 | 600000.00
486 | 101990,76 | 101990.76
487 | 400000,00 | 400000.00
488 | 13500000,00 | 13500000.00
489 | 305972,34 | 305972.34
490 | 263062,22 | 263062.22
491 | 300000,00 | 300000.00
492 | 810000,00 | 810000.00
493 | 360000,00 | 360000.00
494 | 252095,80 | 252095.80
495 | 200000,00 | 200000.00
496 | 82031,93 | 82031.93
497 | 2700000,00 | 2700000.00
498 | 410159,66 | 410159.66
499 | 300000,00 | 300000.00
500 | 123047,90 | 123047.90
501 | 369744,54 | 369744.54
502 | 1200000,00 | 1200000.00
503 | 180000,00 | 180000.00
504 | 126047,90 | 126047.90
505 | 240513,40 | 240513.40
506 | -203981,51 | -203981.51
507 | -3240000,00 | -3240000.00
508 | 249310,80 | 249310.80
509 | 4800000,00 | 4800000.00
510 | 306047,91 | 306047.91
511 | 612095,82 | 612095.82
512 | 124655,39 | 124655.39
513 | 3240000,00 | 3240000.00
514 | 203981,51 | 203981.51
515 | 1200000,00 | 1200000.00
516 | 203981,51 | 203981.51
517 | 1200000,00 | 1200000.00
518 | 432000,00 | 432000.00
519 | 203981,51 | 203981.51
520 | 3240000,00 | 3240000.00
521 | 1200000,00 | 1200000.00
522 | 306047,91 | 306047.91
523 | 1190185,50 | 1190185.50
524 | 249310,80 | 249310.80
525 | 3600000,00 | 3600000.00
526 | 600000,00 | 600000.00
527 | 246477,72 | 246477.72
528 | 3240000,00 | 3240000.00
529 | 18000,00 | 18000.00
530 | 18000,00 | 18000.00
531 | 540000,00 | 540000.00
532 | 203981,52 | 203981.52
533 | 3240000,00 | 3240000.00
534 | 108000,00 | 108000.00
535 | 30000,00 | 30000.00
536 | 102015,97 | 102015.97
537 | 1121898,48 | 1121898.48
538 | 3240000,00 | 3240000.00
539 | 246477,72 | 246477.72
540 | 1200000,00 | 1200000.00
541 | 246477,72 | 246477.72
542 | 1200000,00 | 1200000.00
543 | 1224191,64 | 1224191.64
544 | 43500,00 | 43500.00
545 | 17400,00 | 17400.00
546 | 11600,00 | 11600.00
547 | 31155,00 | 31155.00
548 | 16069,54 | 16069.54
549 | 30000,00 | 30000.00
550 | 1200,00 | 1200.00
551 | 102015,97 | 102015.97
552 | 91814,31 | 91814.31
553 | 75548,00 | 75548.00
554 | 891000,00 | 891000.00
555 | 152986,14 | 152986.14
556 | 2430000,00 | 2430000.00
557 | 4506074,78 | 4506074.78
558 | 58000,00 | 58000.00
559 | 34800,00 | 34800.00
560 | 40600,00 | 40600.00
561 | 44660,00 | 44660.00
562 | 16071,50 | 16071.50
563 | 54000,00 | 54000.00
564 | 184858,26 | 184858.26
565 | 300000,00 | 300000.00
566 | 61619,43 | 61619.43
567 | 300000,00 | 300000.00
568 | 306047,91 | 306047.91
569 | 18000,00 | 18000.00
570 | 554574,78 | 554574.78
571 | 900000,00 | 900000.00
572 | 31163,85 | 31163.85
573 | 810000,00 | 810000.00
574 | 14800,00 | 14800.00
575 | 103750,00 | 103750.00
576 | 66700,00 | 66700.00
577 | 69600,00 | 69600.00
578 | 41540,00 | 41540.00
579 | 50926,84 | 50926.84
580 | 210334,10 | 210334.10
581 | 150000,00 | 150000.00
582 | 263062,22 | 263062.22
583 | 150000,00 | 150000.00
584 | 263062,22 | 263062.22
585 | 124655,40 | 124655.40
586 | 3240000,00 | 3240000.00
587 | 150000,00 | 150000.00
588 | 263062,22 | 263062.22
589 | 5164567,65 | 5164567.65
590 | 1927810,63 | 1927810.63
591 | 54375,00 | 54375.00
592 | 21750,00 | 21750.00
593 | 11600,00 | 11600.00
594 | 417600,00 | 417600.00
595 | 39848,00 | 39848.00
596 | 319000,00 | 319000.00
597 | 5800,00 | 5800.00
598 | 219164,00 | 219164.00
599 | 25463,42 | 25463.42
600 | 1224191,60 | 1224191.60
601 | 31163,85 | 31163.85
602 | 810000,00 | 810000.00
603 | 3288238,96 | 3288238.96
604 | 61619,43 | 61619.43
605 | 300000,00 | 300000.00
606 | 120000,04 | 120000.04
607 | 84031,90 | 84031.90
608 | 1028406,94 | 1028406.94
609 | 1100000,00 | 1100000.00
610 | 33791,88 | 33791.88
611 | 400000,04 | 400000.04
612 | 84031,90 | 84031.90
613 | 360000,12 | 360000.12
614 | 252095,70 | 252095.70
615 | 10000,00 | 10000.00
616 | 7900,00 | 7900.00
617 | 7900,00 | 7900.00
618 | 7900,00 | 7900.00
619 | 12000,00 | 12000.00
620 | 12000,00 | 12000.00
621 | 12000,00 | 12000.00
622 | 120000,04 | 120000.04
623 | 84031,90 | 84031.90
624 | 720000,24 | 720000.24
625 | 504191,40 | 504191.40
626 | 4000,00 | 4000.00
627 | 124655,40 | 124655.40
628 | 3240000,00 | 3240000.00
629 | 373966,20 | 373966.20
630 | 1200000,00 | 1200000.00
631 | 1200000,00 | 1200000.00
632 | 203981,52 | 203981.52
633 | 1200000,00 | 1200000.00
634 | 25600,00 | 25600.00
635 | 240000,08 | 240000.08
636 | 168063,80 | 168063.80
637 | 240000,08 | 240000.08
638 | 168063,80 | 168063.80
639 | 120000,04 | 120000.04
640 | 84031,90 | 84031.90
641 | 21000,00 | 21000.00
642 | 1302,00 | 1302.00
643 | 4500,00 | 4500.00
644 | 3600,00 | 3600.00
645 | 5250,00 | 5250.00
646 | 59622,50 | 59622.50
647 | 24174,17 | 24174.17
648 | 18000,00 | 18000.00
649 | 36093,34 | 36093.34
650 | 42000,00 | 42000.00
651 | 84375,00 | 84375.00
652 | 42000,00 | 42000.00
653 | 1200,00 | 1200.00
654 | 2025,00 | 2025.00
655 | 2100,00 | 2100.00
656 | 7200,00 | 7200.00
657 | 6000,00 | 6000.00
658 | 1221,00 | 1221.00
659 | 3645,00 | 3645.00
660 | 120000,04 | 120000.04
661 | 84031,90 | 84031.90
662 | 60000,00 | 60000.00
663 | 578500,00 | 578500.00
664 | 100000,00 | 100000.00
665 | 64662,00 | 64662.00
666 | 60000,00 | 60000.00
667 | 291083,00 | 291083.00
668 | 1200000,00 | 1200000.00
669 | 120000,04 | 120000.04
670 | 84031,90 | 84031.90
671 | 120000,04 | 120000.04
672 | 84031,90 | 84031.90
673 | 40000,00 | 40000.00
674 | 120000,04 | 120000.04
675 | 84031,90 | 84031.90
676 | 120000,04 | 120000.04
677 | 84031,90 | 84031.90
678 | 120000,04 | 120000.04
679 | 84031,90 | 84031.90
680 | 120000,04 | 120000.04
681 | 84031,90 | 84031.90
682 | 400000,04 | 400000.04
683 | 84031,90 | 84031.90
684 | 200000,00 | 200000.00
685 | 82031,94 | 82031.94
686 | 12000,00 | 12000.00
687 | 12000,00 | 12000.00
688 | 12000,00 | 12000.00
689 | 90200,00 | 90200.00
690 | 203981,52 | 203981.52
691 | 7800000,00 | 7800000.00
692 | 1680000,00 | 1680000.00
693 | 1680000,00 | 1680000.00
694 | 6000,00 | 6000.00
695 | 10180800,00 | 10180800.00
696 | 144000,00 | 144000.00
697 | 228000,00 | 228000.00
698 | 1425000,00 | 1425000.00
699 | 303000,00 | 303000.00
700 | 162000,00 | 162000.00
701 | 120000,00 | 120000.00
702 | 450000,00 | 450000.00
703 | 117000,00 | 117000.00
704 | 54000,00 | 54000.00
705 | 51000,00 | 51000.00
706 | 609000,00 | 609000.00
707 | 127500,00 | 127500.00
708 | 7535621,32 | 7535621.32
709 | 648000,00 | 648000.00
710 | 3250000,00 | 3250000.00
711 | 727200,00 | 727200.00
712 | 878700,00 | 878700.00
713 | 212100,00 | 212100.00
714 | 393900,00 | 393900.00
715 | 8726400,00 | 8726400.00
716 | 39600,00 | 39600.00
717 | 373966,20 | 373966.20
718 | 3240000,00 | 3240000.00
719 | 203981,52 | 203981.52
720 | 3240000,00 | 3240000.00
721 | 611944,68 | 611944.68
722 | 3240000,00 | 3240000.00
723 | 31200000,00 | 31200000.00
724 | 611944,68 | 611944.68
725 | 1800000,00 | 1800000.00
726 | 20775,90 | 20775.90
727 | 8000,00 | 8000.00
728 | 30000,00 | 30000.00
729 | 203981,52 | 203981.52
730 | 1200000,00 | 1200000.00
731 | 12000,00 | 12000.00
732 | 18000000,00 | 18000000.00
733 | 611944,68 | 611944.68
734 | 100000,00 | 100000.00
735 | 12000,00 | 12000.00
736 | 263062,22 | 263062.22
737 | 162477,14 | 162477.14
738 | 64662,00 | 64662.00
739 | 60000,00 | 60000.00
740 | 40000,00 | 40000.00
741 | 291083,00 | 291083.00
742 | 150000,00 | 150000.00
743 | 1121898,48 | 1121898.48
744 | 1200000,00 | 1200000.00
745 | 8800,00 | 8800.00
746 | 659994,00 | 659994.00
747 | 42581,06 | 42581.06
748 | 33791,88 | 33791.88
749 | 33791,88 | 33791.88
750 | 42581,06 | 42581.06
751 | 8800,00 | 8800.00
752 | 57523,29 | 57523.29
753 | 219998,00 | 219998.00
754 | 219998,00 | 219998.00
755 | 219998,00 | 219998.00
756 | 33791,88 | 33791.88
757 | 263062,22 | 263062.22
758 | 156797,05 | 156797.05
759 | 320154,00 | 320154.00
760 | 20000,16 | 20000.16
761 | 14400,08 | 14400.08
762 | 28800,24 | 28800.24
763 | 18800,16 | 18800.16
764 | 21200,16 | 21200.16
765 | 263062,22 | 263062.22
766 | 33791,88 | 33791.88
767 | 325748,76 | 325748.76
768 | 122175,45 | 122175.45
769 | 33791,88 | 33791.88
770 | 263062,22 | 263062.22
771 | 145897,46 | 145897.46
772 | 185071,59 | 185071.59
773 | 181655,40 | 181655.40
774 | 44500,00 | 44500.00
775 | 33791,88 | 33791.88
776 | 368392,16 | 368392.16
777 | 235725,00 | 235725.00
778 | 203981,52 | 203981.52
779 | 59600,00 | 59600.00
780 | 45000,00 | 45000.00
781 | 16998,46 | 16998.46
782 | 161609,00 | 161609.00
783 | 60000,00 | 60000.00
784 | 496461,00 | 496461.00
785 | 33791,88 | 33791.88
786 | 60172,50 | 60172.50
787 | 395746,13 | 395746.13
788 | 792000,00 | 792000.00
789 | 560949,29 | 560949.29
790 | 509953,90 | 509953.90
791 | 4400,00 | 4400.00
792 | 4400,00 | 4400.00
793 | 16998,39 | 16998.39
794 | 16998,39 | 16998.39
795 | 16998,39 | 16998.39
796 | 16998,39 | 16998.39
797 | 33791,88 | 33791.88
798 | 263062,22 | 263062.22
799 | 399746,20 | 399746.20
800 | 203981,40 | 203981.40
801 | 0,00 | 0.00
802 | 67993,80 | 67993.80
803 | 67993,80 | 67993.80
804 | 203981,51 | 203981.51
805 | 203981,51 | 203981.51
806 | 203981,51 | 203981.51
807 | 203981,51 | 203981.51
808 | 181609,00 | 181609.00
809 | 203981,51 | 203981.51
810 | 203981,51 | 203981.51
811 | 263062,22 | 263062.22
812 | 150000,00 | 150000.00
813 | 33791,88 | 33791.88
814 | 385109,31 | 385109.31
815 | 33791,88 | 33791.88
816 | 680125,74 | 680125.74
817 | 634846,50 | 634846.50
818 | 263062,22 | 263062.22
819 | 72000,00 | 72000.00
820 | 50995,39 | 50995.39
821 | 150000,00 | 150000.00
822 | 203981,52 | 203981.52
823 | 67993,80 | 67993.80
824 | 203981,52 | 203981.52
825 | 611944,68 | 611944.68
826 | 373966,20 | 373966.20
827 | 6720000,00 | 6720000.00
828 | 6048000,00 | 6048000.00
829 | 480000,00 | 480000.00
830 | 203981,52 | 203981.52
831 | 67993,80 | 67993.80
832 | 150000,00 | 150000.00
833 | 30077,78 | 30077.78
834 | 6015,56 | 6015.56
835 | 1121898,48 | 1121898.48
836 | 360000,00 | 360000.00
837 | 60000,00 | 60000.00
838 | 100000,00 | 100000.00
839 | 343620,00 | 343620.00
840 | 6137,25 | 6137.25
841 | 1540,00 | 1540.00
842 | 112500,00 | 112500.00
843 | 17250,00 | 17250.00
844 | 15015,00 | 15015.00
845 | 6230,00 | 6230.00
846 | 31625,00 | 31625.00
847 | 13152,50 | 13152.50
848 | 28750,00 | 28750.00
849 | 25000,00 | 25000.00
850 | 24150,00 | 24150.00
851 | 1750,00 | 1750.00
852 | 1250,00 | 1250.00
853 | 5625,00 | 5625.00
854 | 11250,00 | 11250.00
855 | 2170,00 | 2170.00
856 | 33750,00 | 33750.00
857 | 2812,50 | 2812.50
858 | 6562,50 | 6562.50
859 | 2330,40 | 2330.40
860 | 1000,00 | 1000.00
861 | 13329,00 | 13329.00
862 | 6641,25 | 6641.25
863 | 142874,08 | 142874.08
864 | 203981,52 | 203981.52
865 | 1200000,00 | 1200000.00
866 | 203981,52 | 203981.52
867 | 33996,92 | 33996.92
868 | 33996,92 | 33996.92
869 | 33996,92 | 33996.92
870 | 200000,00 | 200000.00
871 | 11332,30 | 11332.30
872 | 101990,78 | 101990.78
873 | 33996,92 | 33996.92
874 | 33996,92 | 33996.92
875 | 33996,92 | 33996.92
876 | 200000,00 | 200000.00
877 | 11332,30 | 11332.30
878 | 101990,78 | 101990.78
879 | 1200000,00 | 1200000.00
880 | 150000,00 | 150000.00
881 | 1920000,00 | 1920000.00
882 | 1121898,48 | 1121898.48
883 | 150000,00 | 150000.00
884 | 38033,46 | 38033.46
885 | 7606,69 | 7606.69
886 | 203981,52 | 203981.52
887 | 29880,00 | 29880.00
888 | 30030,00 | 30030.00
889 | 27395,00 | 27395.00
890 | 63250,00 | 63250.00
891 | 5000,00 | 5000.00
892 | 60000,00 | 60000.00
893 | 500,00 | 500.00
894 | 1250,00 | 1250.00
895 | 3750,00 | 3750.00
896 | 2170,00 | 2170.00
897 | 30187,50 | 30187.50
898 | 6075,00 | 6075.00
899 | 506,25 | 506.25
900 | 1181,25 | 1181.25
901 | 3884,00 | 3884.00
902 | 13329,00 | 13329.00
903 | 24840,00 | 24840.00
904 | 3105,00 | 3105.00
905 | 302296,82 | 302296.82
906 | 22500,00 | 22500.00
907 | 4500,00 | 4500.00
908 | 10000,00 | 10000.00
909 | 14087,50 | 14087.50
910 | 1540,00 | 1540.00
911 | 96300,00 | 96300.00
912 | 36915,00 | 36915.00
913 | 30030,00 | 30030.00
914 | 17256,25 | 17256.25
915 | 16250,00 | 16250.00
916 | 1000,00 | 1000.00
917 | 180000,00 | 180000.00
918 | 249000,00 | 249000.00
919 | 24075,00 | 24075.00
920 | 2006,25 | 2006.25
921 | 4681,25 | 4681.25
922 | 15536,00 | 15536.00
923 | 1000,00 | 1000.00
924 | 111075,00 | 111075.00
925 | 15750,00 | 15750.00
926 | 163300,45 | 163300.45
927 | 72000,00 | 72000.00
928 | 373966,20 | 373966.20
929 | -124655,40 | -124655.40
930 | 659994,00 | 659994.00
931 | 67993,80 | 67993.80
932 | 67993,80 | 67993.80
933 | 67993,80 | 67993.80
934 | 203981,52 | 203981.52
935 | 67993,80 | 67993.80
936 | 203981,52 | 203981.52
937 | 67993,80 | 67993.80
938 | 203981,52 | 203981.52
939 | 203981,52 | 203981.52
940 | 158643,30 | 158643.30
941 | 31728,66 | 31728.66
942 | 659994,00 | 659994.00
943 | 52881,10 | 52881.10
944 | 10576,22 | 10576.22
945 | 52880,10 | 52880.10
946 | 150000,00 | 150000.00
947 | 315674,66 | 315674.66
948 | 66142,73 | 66142.73
949 | 956700,00 | 956700.00
950 | 120000,00 | 120000.00
951 | 768000,00 | 768000.00
952 | 96000,00 | 96000.00
953 | 192000,00 | 192000.00
954 | 288000,00 | 288000.00
955 | 96000,00 | 96000.00
956 | 192000,00 | 192000.00
957 | 659994,00 | 659994.00
958 | 192000,00 | 192000.00
959 | 160000,00 | 160000.00
960 | 83614,90 | 83614.90
961 | 99931,39 | 99931.39
962 | 87975,07 | 87975.07
963 | 305972,34 | 305972.34
964 | 659994,00 | 659994.00
965 | 219998,00 | 219998.00
966 | 124655,40 | 124655.40
967 | 720000,24 | 720000.24
968 | 504191,40 | 504191.40
969 | 67993,80 | 67993.80
970 | 67993,80 | 67993.80
971 | 124655,40 | 124655.40
972 | -611944,68 | -611944.68
973 | 373966,20 | 373966.20
974 | 67993,80 | 67993.80
975 | 67993,80 | 67993.80
976 | 1620000,00 | 1620000.00
977 | 2700000,00 | 2700000.00
978 | 1499994,00 | 1499994.00
979 | 816000,00 | 816000.00
980 | 144000,00 | 144000.00
981 | 659994,00 | 659994.00
982 | 1785708,00 | 1785708.00
983 | 5983320,00 | 5983320.00
984 | 1499999,94 | 1499999.94
985 | 270000,00 | 270000.00
986 | 270000,00 | 270000.00
987 | 270000,00 | 270000.00
988 | 67993,80 | 67993.80
989 | 203981,52 | 203981.52
990 | 82159,20 | 82159.20
991 | 124655,40 | 124655.40
992 | 12000,00 | 12000.00
993 | 659994,00 | 659994.00
994 | 600000,00 | 600000.00
995 | 203981,52 | 203981.52
996 | 611944,68 | 611944.68
997 | 1620000,00 | 1620000.00
998 | 600000,00 | 600000.00
999 | 36000,00 | 36000.00
1000 | 611944,68 | 611944.68
1001 | 600000,00 | 600000.00
1002 | 373966,20 | 373966.20
1003 | 600000,00 | 600000.00
1004 | 1620000,00 | 1620000.00
1005 | 203981,52 | 203981.52
1006 | 600000,00 | 600000.00
1007 | 203981,52 | 203981.52
1008 | 36000,00 | 36000.00
1009 | 4000,00 | 4000.00
1010 | 13200,00 | 13200.00
1011 | 203981,52 | 203981.52
1012 | 611944,68 | 611944.68
1013 | 611944,68 | 611944.68
1014 | 659994,00 | 659994.00
1015 | 600000,00 | 600000.00
1016 | 600000,00 | 600000.00
1017 | 1620000,00 | 1620000.00
1018 | 270000,00 | 270000.00
1019 | 270000,00 | 270000.00
1020 | 270000,00 | 270000.00
1021 | 540000,00 | 540000.00
1022 | 611944,68 | 611944.68
1023 | 16000,00 | 16000.00
1024 | 540000,00 | 540000.00
1025 | 600000,00 | 600000.00
1026 | 611944,68 | 611944.68
1027 | 10000,00 | 10000.00
1028 | 20000,00 | 20000.00
1029 | 67993,80 | 67993.80
1030 | 1620000,00 | 1620000.00
1031 | 1800000,00 | 1800000.00
1032 | 10000,00 | 10000.00
1033 | 600000,00 | 600000.00
1034 | 611944,68 | 611944.68
1035 | 600000,00 | 600000.00
1036 | 1620000,00 | 1620000.00
1037 | 600000,00 | 600000.00
1038 | 67993,80 | 67993.80
1039 | 611944,68 | 611944.68
1040 | 203981,52 | 203981.52
1041 | 203981,52 | 203981.52
1042 | 203981,52 | 203981.52
1043 | 600000,00 | 600000.00
1044 | 67993,80 | 67993.80
1045 | 203981,52 | 203981.52
1046 | 600000,00 | 600000.00
1047 | 203981,52 | 203981.52
1048 | 8000000,00 | 8000000.00
1049 | 120000,00 | 120000.00
1050 | 203981,52 | 203981.52
1051 | 203981,52 | 203981.52
1052 | 8000,00 | 8000.00
1053 | 540000,00 | 540000.00
1054 | 203981,52 | 203981.52
1055 | 373966,20 | 373966.20
1056 | 67993,80 | 67993.80
1057 | 67993,80 | 67993.80
1058 | 813887,94 | 813887.94
1059 | 960000,00 | 960000.00
1060 | 203981,52 | 203981.52
1061 | 960000,00 | 960000.00
